X;Y;Attack1;Attack2;Ability;Protect;EnemyX;EnemyY;next_move;DistanceDifference
-1.076207;-3.950021;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.95002;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.950019;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.950018;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.950017;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.076207;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.511207
-1.180511;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6155110000000001
-1.235802;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6708020000000001
-1.264233;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.699233
-1.235802;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.6708020000000001
-1.207372;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.642372
-1.178942;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.613942
-1.150511;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.5855110000000001
-1.122081;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.5570810000000002
-1.093651;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.528651
-1.06522;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.50022
-1.03679;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.4717900000000002
-1.00836;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.44336
-0.9799292;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.4149292
-0.9514988;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.3864988
-0.9230684;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.3580684
-0.894638;-3.950016;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.329638
